# Ping pBC Intraanchor -- 2026-08-04

| bar_time | ticker | strategy_id | current_pbc | current_pbc_state | pbc_delta | rlo_slope_5min | rhi_slope_5min | compression_confirmed | price_roc | projected_exit | projection_confidence | projection_bars | trajectory_quality |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 2026-08-04 12:58:00 | AEP | Cycle1_LongOnly | 0.028346 | MIXED |  | 0.0 | 0.0 | 0 | -0.003961 | 128.23 |  | 0 | good |
| 2026-08-04 13:00:00 | AEP | Cycle1_LongOnly | 0.027437 | MIXED |  | 0.0 | 0.0 | 0 | -0.117052 | 127.42 |  | 0 | good |
| 2026-08-04 13:01:00 | AEP | Cycle1_LongOnly | 0.038366 | MIXED |  | 0.0 | 0.0 | 0 | -0.141343 | 127.49 |  | 0 | good |
| 2026-08-04 13:02:00 | AEP | Cycle1_LongOnly | 0.005767 | MIXED |  | 0.0 | 0.0 | 0 | -0.035792 | 128.31 |  | 0 | good |
| 2026-08-04 13:03:00 | AEP | Cycle1_LongOnly | -0.005877 | MIXED |  | 0.0 | 0.0 | 0 | 0.061504 | 129.04 |  | 0 | good |
| 2026-08-04 13:04:00 | AEP | Cycle1_LongOnly | -0.011556 | MIXED |  | 0.0 | 0.0 | 0 | 0.085692 | 129.01 |  | 0 | good |
| 2026-08-04 13:05:00 | AEP | Cycle1_LongOnly | 0.010456 | POSITIVE_COMPRESSION |  | 0.007714 | 0.0 | 1 | 0.039973 | 128.58 |  | 0 | good |
| 2026-08-04 13:06:00 | AEP | Cycle1_LongOnly | -0.030618 | MIXED |  | -0.025 | 0.0 | 0 | -0.052893 | 128.58 |  | 0 | good |
| 2026-08-04 13:07:00 | AEP | Cycle1_LongOnly | -0.048389 | MIXED |  | -0.031 | 0.0 | 0 | -0.101748 | 128.58 |  | 0 | good |
| 2026-08-04 13:08:00 | AEP | Cycle1_LongOnly | -0.042882 | MIXED |  | -0.014 | 0.0 | 0 | -0.109648 | 128.58 |  | 0 | good |
| 2026-08-04 13:09:00 | AEP | Cycle1_LongOnly | -0.025695 | MIXED |  | 0.007929 | 0.0 | 1 | -0.065274 | 128.58 |  | 0 | good |
| 2026-08-04 13:10:00 | AEP | Cycle1_LongOnly | -0.001317 | MIXED |  | 0.000714 | 0.0 | 1 | 0.102447 | 128.58 |  | 0 | good |
